PlayerID,PlayerName
17632,Alexander Schwolow
17633,Manuel Gulde
17635,Lukas Kübler
17638,Nicolas Höfler
17643,Diego Santis
17645,Dominique Heintz
17646,Keven Schlotterbeck
17652,Janik Haberer
17653,Kevin Ehlers
17655,Lucas Höler
17656,F. Niederlechner
17659,Jean Zimmer
17660,Niko Gießelmann
17671,Anton Stach
17675,Kevin Stöger
17848,Noah Weisshaupt
17851,David Mamutovic
17852,Robert Leipertz
30059,Kenneth Vermeer
30113,Rodrigo Palacio
30173,Diego Lugano
30189,Valon Behrami
30199,Yuri Zhirkov
30210,Yaya Touré
30235,Gonzalo Castro
30277,Fernando Llorente
30323,Kévin Gameiro
30468,Ismael Matar
30625,Bader Al Mutawa
30629,Hassan Sunny
30653,S. Tedsungnoen
31044,Radamel Falcao
31052,Fernandinho
31169,Markus Rosenberg
31378,Andrea Masiello
31427,Kazuhiko Chiba
31516,Saud Al Hajri
31899,Zeng Cheng
32135,Wayne Hennessey
32157,Brandon Borrello
32159,Blaise Matuidi
32199,Fabio Quagliarella
32299,Sherif Ekramy
32312,Ragnar Klavan
32339,Nuri Şahin
32354,K. Prince Boateng
32386,John Ruddy
32395,S. Lichtsteiner
32436,Lisandro López
32462,Lassana Diarra
32478,Rais M'Bolhi
32485,Tim Krul
32493,Ezequiel Lavezzi
32586,João Miranda
32607,Nani
32618,Lasse Schöne
32664,Ricardo Batista
32764,Salvatore Sirigu
32782,Hugo Rodallega
32795,Cristian Riveros
32836,Daniel Agger
33029,Alaixys Romao
33075,Lorenzo De Silvestri
33079,Leonardo Bonucci
33104,Luca Cigarini
33114,Cristián Zapata
33167,J. de Guzman
33184,Rafinha
33185,Manuel Neuer
33237,David Silva
33290,Serge Gakpé
33291,Thomas Mangani
33301,Régis Gurtner
33328,Júlio César
33491,Gabriel Torres
33555,Hao Junmin
33579,Majed Naser
33633,Gonzalo Higuaín
33643,Mehdi Benatia
33700,Theo Walcott
33701,Carlos Vela
33702,Sergio Agüero
33784,Roberto Soldado
33799,Marek Hamšík
33876,Vito Mannone
33926,Fredy Guarín
34098,Luka Modrić
34102,Guillermo Ochoa
34108,Andrés Guardado
34135,Martin Olsson
34424,Mahmoud Khamis
34430,Óscar Ustari
34437,Łukasz Fabiański
34475,Diego Godín
34487,Miguel Pinto
34544,Jérémy Morel
34605,Alain Traoré
34611,Dimitri Payet
34641,Ashley Young
34799,José Fonte
34805,Mathieu Valbuena
34813,Marko Arnautović
34827,Joe Hart
34832,Tomas Pekhart
34862,Burak Yilmaz
34868,Rui Patrício
34881,Luis Suárez
34905,Jan Vertonghen
34908,Marcelo
34929,Danilo D'Ambrosio
34974,Angelo Ogbonna
34982,Claudio Marchisio
35017,André Gignac
35067,Joona Toivio
35108,Javi Martínez
35113,Natxo Insa
35124,Óscar Trejo
35173,Andy Carroll
35181,Emiliano Insúa
35189,Adel Taarabt
35207,David Luiz
35219,Mehmet Topal
35250,Éver Banega
35252,Marco Ruben
35266,Alexandre Pato
35281,Muriel Becker
35477,Edinson Cavani
35496,Gareth Bale
35505,Jonny Evans
35516,Óscar Rojas
35876,César Azpilicueta
35878,Lucas Leiva
35880,José Sosa
35882,Mauro Zárate
35883,Maxi Moralez
35888,Aldo Simoncini
35893,Davide Simoncini
36052,Josep Gómes
36061,Marc Pujol
36065,Marcio Vieira
36066,Sergi Moreno
36246,Caner Erkin
36256,Artem Dzyuba
36288,Georginio Wijnaldum
36309,Andrés Ríos
